id,zip,primary_city,state,county,timezone,latitude,longitude,country,estimated_population
1,501,Holtsville,NY,Suffolk County,America/New_York,40.81,-73.04,US,384
2,544,Holtsville,NY,Suffolk County,America/New_York,40.81,-73.04,US,0
3,601,Adjuntas,PR,Adjuntas,America/Puerto_Rico,18.16,-66.72,US,0
4,602,Aguada,PR,,,18.38,-67.18,US,0
5,603,Aguadilla,PR,Aguadilla,America/Puerto_Rico,18.43,-67.15,US,0
6,604,Aguadilla,PR,,,18.43,-67.15,US,0
7,605,Aguadilla,PR,,,18.43,-67.15,US,0
8,606,Maricao,PR,Maricao,America/Puerto_Rico,18.18,-66.98,US,0
9,610,Anasco,PR,,,18.28,-67.14,US,0
10,611,Angeles,PR,,,18.28,-66.79,US,0
11,612,Arecibo,PR,Arecibo,America/Puerto_Rico,18.45,-66.73,US,0
12,613,Arecibo,PR,,,18.45,-66.73,US,0
13,614,Arecibo,PR,,,18.45,-66.73,US,0
14,616,Bajadero,PR,Arecibo,America/Puerto_Rico,18.4,-66.66,US,0
15,617,Barceloneta,PR,Barceloneta,America/Puerto_Rico,18.45,-66.53,US,0
16,622,Boqueron,PR,,,17.99,-67.15,US,0
17,623,Cabo Rojo,PR,,,18.08,-67.14,US,0
18,624,Penuelas,PR,,,18.06,-66.72,US,0
19,627,Camuy,PR,,,18.48,-66.84,US,0
20,631,Castaner,PR,,,18.19,-66.82,US,0
21,636,Rosario,PR,,,18.15,-67.06,US,0
22,637,Sabana Grande,PR,,,18.08,-66.96,US,0
23,638,Ciales,PR,,,18.33,-66.47,US,0
24,641,Utuado,PR,,,18.27,-66.7,US,0
25,646,Dorado,PR,,,18.47,-66.27,US,0
26,647,Ensenada,PR,,,17.96,-66.94,US,0
27,650,Florida,PR,,,18.36,-66.56,US,0
28,652,Garrochales,PR,Arecibo,America/Puerto_Rico,18.45,-66.6,US,0
29,653,Guanica,PR,,,17.97,-66.93,US,0
30,656,Guayanilla,PR,,,18.02,-66.79,US,0
31,659,Hatillo,PR,,,18.48,-66.82,US,0
32,660,Hormigueros,PR,,,18.14,-67.12,US,0
33,662,Isabela,PR,,,18.5,-67.02,US,0
34,664,Jayuya,PR,,,18.22,-66.59,US,0
35,667,Lajas,PR,,,18.04,-67.06,US,0
36,669,Lares,PR,,,18.29,-66.88,US,0
37,670,Las Marias,PR,,,18.27,-67.06,US,0
38,674,Manati,PR,,,18.43,-66.48,US,0
